,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
3,control compliance of railway vehicles regulations,"['control compliance_com', 'No change', 'No change']",control compliance_com,No change,No change
9,handle fish harvesting waste,"['fish harvesting waste_com', 'No change', 'No change']",fish harvesting waste_com,No change,No change
10,develop energy saving concepts,"['energy saving concepts_com', 'No change', 'No change']",energy saving concepts_com,No change,No change
11,perform street interventions in social work,"['street interventions_com', 'perform street interventions_obj', 'social work_amod']",street interventions_com,perform street interventions_obj,social work_amod
13,conduct research on flora,"['No change', 'conduct research_obj', 'No change']",No change,conduct research_obj,No change
15,handle equipment while suspended,"['No change', 'handle equipment_obj', 'No change']",No change,handle equipment_obj,No change
20,apply credit risk policy,"['credit risk policy_com', 'No change', 'No change']",credit risk policy_com,No change,No change
21,handle customer requests related to cargo,"['customer requests_com', 'handle customer requests_obj', 'No change']",customer requests_com,handle customer requests_obj,No change
22,utilise advanced clinical skills,"['No change', 'No change', 'utilise advanced clinical skills_amod']",No change,No change,utilise advanced clinical skills_amod
28,manufacture wearing apparel products,"['apparel products_com', 'No change', 'No change']",apparel products_com,No change,No change
30,maintain inventory of cleaning supplies,"['cleaning supplies_com', 'maintain inventory_obj', 'No change']",cleaning supplies_com,maintain inventory_obj,No change
32,act as contact person during equipment incident,"['contact person_com', 'No change', 'No change']",contact person_com,No change,No change
33,manage time in landscaping,"['No change', 'manage time_obj', 'No change']",No change,manage time_obj,No change
37,assess nutritional characteristics of food,"['No change', 'assess nutritional characteristics_obj', 'nutritional characteristics of food_amod']",No change,assess nutritional characteristics_obj,nutritional characteristics of food_amod
41,carry out parts purchasing,"['parts purchasing_com', 'No change', 'No change']",parts purchasing_com,No change,No change
43,transport patient to medical facility,"['No change', 'transport patient_obj', 'medical facility_amod']",No change,transport patient_obj,medical facility_amod
44,adjust envelope cutting settings,"['No change', 'No change', 'No change']",No change,No change,No change
47,pursue excellence in the creation of food products,"['food products_com', 'pursue excellence_obj', 'No change']",food products_com,pursue excellence_obj,No change
48,maintain personal hygiene standards when cleaning,"['hygiene standards_com', 'maintain personal hygiene standards_obj', 'personal hygiene standards when cleaning_amod']",hygiene standards_com,maintain personal hygiene standards_obj,personal hygiene standards when cleaning_amod
51,provide chaperone for children on set,"['No change', 'provide chaperone_obj', 'No change']",No change,provide chaperone_obj,No change
53,use glass engraving tools,"['No change', 'No change', 'No change']",No change,No change,No change
57,peform small vessel administrative duties,"['No change', 'No change', 'small vessel administrative duties_amod']",No change,No change,small vessel administrative duties_amod
59,advise on construction materials,"['construction materials_com', 'No change', 'No change']",construction materials_com,No change,No change
61,manage volunteers in second-hand shop,"['second-hand shop_com', 'manage volunteers_obj', 'No change']",second-hand shop_com,manage volunteers_obj,No change
62,pump products for storage,"['No change', 'pump products_obj', 'No change']",No change,pump products_obj,No change
63,medico-biological and medical sciences related to dentistry,"['No change', 'No change', 'medico-biological and medical sciences_amod']",No change,No change,medico-biological and medical sciences_amod
64,attend to detail in casting processes,"['No change', 'No change', 'No change']",No change,No change,No change
68,develop efficiency plans for maritime shipping,"['efficiency plans_com', 'develop efficiency plans_obj', 'maritime shipping_amod']",efficiency plans_com,develop efficiency plans_obj,maritime shipping_amod
70,advise on clay products handling,"['clay products handling_com', 'No change', 'No change']",clay products handling_com,No change,No change
73,analyse the artistic concept based on stage actions,"['stage actions_com', 'analyse the artistic concept_obj', 'artistic concept based on stage actions_amod']",stage actions_com,analyse the artistic concept_obj,artistic concept based on stage actions_amod
75,human factors regarding safety,"['No change', 'factors regarding safety_obj', 'human factors_amod']",No change,factors regarding safety_obj,human factors_amod
79,assemble circus rigging equipment,"['circus rigging_com', 'No change', 'rigging equipment_amod']",circus rigging_com,No change,rigging equipment_amod
80,perform oral health diagnosis,"['health diagnosis_com', 'No change', 'oral health diagnosis_amod']",health diagnosis_com,No change,oral health diagnosis_amod
83,search historical sources in archives,"['No change', 'No change', 'search historical sources_amod']",No change,No change,search historical sources_amod
90,collect property financial information,"['No change', 'No change', 'financial information_amod']",No change,No change,financial information_amod
92,contribute to quality physiotherapy services,"['quality physiotherapy services_com', 'No change', 'No change']",quality physiotherapy services_com,No change,No change
94,advise customers on usage of care products for pets,"['care products_com', 'advise customers_obj', 'No change']",care products_com,advise customers_obj,No change
95,operate remote sensing equipment,"['sensing equipment_com', 'No change', 'remote sensing equipment_amod']",sensing equipment_com,No change,remote sensing equipment_amod
96,calculate stairs rise and run,"['calculate stairs rise_com', 'No change', 'No change']",calculate stairs rise_com,No change,No change
