Tag,Freq_in_tags,Freq_Offers,Manual validation,,,,,,
management,83,241947,yes,,,,,,
excel,48,167766,yes,,,,,,
google,450,38021,no,,,,,, 
data,309,124822,no,,,,,,
reporting,20,131573,yes,,,,,,
server,269,6854,no,,,,,,
integration,28,119376,yes,,,,,,
code,256,26741,no,,,,,,
web,230,208171,no,,,,,,
plugin,227,436,no,,,,,,
windows,207,13051,no,,,,,,
design,88,72190,yes,,,,,,
word,36,57956,yes,,,,,,
crm,22,51538,yes,,,,,,
video,47,46749,yes,,,,,,
file,172,1415,no,,,,,,
architecture,29,43756,yes,,,,,,
cloud,102,35703,yes,,,,,,
framework,159,13540,no,,,,,,
java,155,34952,yes,,,,,,
sap,15,30874,yes,,,,,,
python,201,28886,yes,,,,,,
facebook,139,48696,no,,,,,,
sql,200,24888,yes,,,,,,
app,139,7079,no,,,,,,
http,136,784,no,,,,,,
studio,132,16928,no,,,,,,
ui,132,4,no,,,,,,
error,128,239,no,,,,,,
javascript,55,23365,yes,,,,,,
.net,100,22211,yes,,,,,,
custom,125,1258,no,,,,,,
html,113,21535,yes,,,,,,
visual,123,6690,no,,,,,,
linux,30,19958,yes,,,,,,
vba,17,18314,yes,,,,,,
php,162,16523,yes,,,,,,
css,110,15287,yes,,,,,,
client,110,283863,no,,,,,,
radio,10,14268,yes,,,,,,
search,108,8471,no,,,,,,
programming,108,3193,no,,,,,,
monitoring,16,14215,yes,,,,,,
type,105,149502,no,,,,,,
object,105,2681,no,,,,,,
class,104,2785,no,,,,,,
language,103,7244,no,,,,,,
api,453,13223,yes,,,,,,
text,102,1323,no,,,,,,
access,81,12979,yes,,,,,,
form,100,1568,no,,,,,,
application,98,86019,no,,,,,,
image,98,33952,no,,,,,,
system,98,10830,no,,,,,,
wordpress,35,11798,yes,,,,,,
test,97,35354,no,,,,,,
table,97,5660,no,,,,,,
android,689,11628,yes,,,,,,
ora,97,68,no,,,,,,
project,96,27069,no,,,,,,
model,95,10518,no,,,,,,
sas,12,11201,yes,,,,,,
